,,,,,,,,,,Misc,Misc,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,
Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,QBrec,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,College/Univ,
115,2016,3,90,C.J. Prosise\ProsC.00,RB,22,SEA,2016,2019,0,0,0,5,25,2,,,,,,,65,264,2,36,393,0,Notre Dame,College Stats
116,2016,3,91,Jacoby Brissett\BrisJa00,QB,23,NWE,2016,2019,0,0,2,23,38,32,12-20-0,584,975,6442,31,13,142,564,9,1,2,0,North Carolina St.,College Stats
117,2016,3,93,Cody Kessler\KessCo00,QB,23,CLE,2016,2018,0,0,1,5,17,12,2-10-0,224,349,2215,8,5,31,140,0,,,,USC,College Stats
118,2016,3,94,Nick Vannett\VannNi00,TE,23,SEA,2016,2019,0,0,1,5,55,22,,,,,,,,,,61,591,4,Ohio St.,College Stats
119,2015,1,1,Jameis Winston\WinsJa00,QB,21,TAM,2015,2019,0,1,5,54,72,70,28-42-0,1563,2548,19737,121,88,248,1044,10,,,,Florida St.,College Stats
120,2015,1,2,Marcus Mariota\MariMa01,QB,21,TEN,2015,2019,0,0,4,44,63,61,29-32-0,1110,1765,13207,76,44,242,1399,11,2,62,1,Oregon,College Stats
121,2015,1,4,Amari Cooper\CoopAm00,WR,21,OAK,2015,2019,0,4,5,39,77,72,,,,,,,8,27,0,357,5097,33,Alabama,College Stats
122,2015,1,7,Kevin White\WhitKe00,WR,23,CHI,2016,2018,0,0,0,2,14,5,,,,,,,1,9,0,25,285,0,West Virginia,College Stats
123,2015,1,10,Todd Gurley\GurlTo01,RB,21,STL,2015,2019,2,3,5,50,73,72,,,,,,,1265,5404,58,218,2090,12,Georgia,College Stats
124,2015,1,14,DeVante Parker\ParkDe01,WR,22,MIA,2015,2019,0,0,3,23,70,45,,,,,,,,,,235,3419,18,Louisville,College Stats
125,2015,1,15,Melvin Gordon\GordMe00,RB,22,SDG,2015,2019,0,2,5,39,67,63,,,,,,,1059,4240,36,224,1873,11,Wisconsin,College Stats
126,2015,1,20,Nelson Agholor\AghoNe00,WR,22,PHI,2015,2019,0,0,5,21,71,62,,1,1,15,0,0,11,60,0,224,2515,18,USC,College Stats
127,2015,1,26,Breshad Perriman\PerrBr02,WR,21,BAL,2016,2019,0,0,0,11,51,10,,,,,,,7,20,0,95,1561,11,Central Florida,College Stats
128,2015,1,29,Phillip Dorsett\DorsPh00,WR,22,IND,2015,2019,0,0,0,14,71,15,,,,,,,13,84,0,124,1634,11,Miami (FL),College Stats
129,2015,2,36,T.J. Yeldon\YeldT.00,RB,21,JAX,2015,2019,0,0,2,20,57,30,,,,,,,482,1935,6,184,1426,6,Alabama,College Stats
130,2015,2,37,Devin Smith\SmitDe04,WR,23,NYJ,2015,2019,0,0,0,2,18,5,,,,,,,,,,15,248,2,Ohio St.,College Stats
131,2015,2,40,Dorial Green-Beckham\GreeDo00,WR,22,TEN,2015,2016,0,0,0,7,31,12,,,,,,,,,,68,941,6,Oklahoma,College Stats
132,2015,2,41,Devin Funchess\FuncDe00,TE,21,CAR,2015,2019,0,0,2,20,62,41,,,,,,,,,,164,2265,21,Michigan,College Stats
133,2015,2,54,Ameer Abdullah\AbduAm00,RB,22,DET,2015,2019,0,0,2,12,58,22,,,,,,,350,1366,6,73,518,4,Nebraska,College Stats
134,2015,2,55,Maxx Williams\WillMa04,TE,21,BAL,2015,2019,0,0,1,6,58,31,,,,,,,5,14,0,78,699,4,Minnesota,College Stats
135,2015,3,68,Clive Walford\WalfCl00,TE,23,OAK,2015,2019,0,0,1,7,52,14,,,,,,,0,4,0,74,825,6,Miami (FL),College Stats
136,2015,3,69,Tyler Lockett\LockTy00,WR,22,SEA,2015,2019,1,1,5,37,79,55,,,,,,,38,256,1,276,3838,27,Kansas St.,College Stats
137,2015,3,70,Jaelen Strong\StroJa01,WR,21,HOU,2015,2017,0,0,0,2,20,3,,,,,,,,,,31,330,4,Arizona St.,College Stats
138,2015,3,73,Tevin Coleman\ColeTe01,RB,22,ATL,2015,2019,0,0,2,30,70,31,,,,,,,665,2884,24,113,1190,12,Indiana,College Stats
139,2015,3,75,Garrett Grayson\GrayGa00,QB,24,NOR,2015,2015,0,0,0,0,1,0,,,,,,,,,,,,,Colorado St.,College Stats
140,2015,3,76,Chris Conley\ConlCh00,WR,22,KAN,2015,2019,0,0,3,18,69,48,,,,,,,,,,151,2013,11,Georgia,College Stats
141,2015,3,77,Duke Johnson\JohnDu00,RB,21,CLE,2015,2019,0,0,0,25,80,12,,0,1,0,0,0,382,1696,7,279,2580,11,Miami (FL),College Stats
142,2015,3,85,Tyler Kroft\KrofTy00,TE,22,CIN,2015,2019,0,0,2,6,62,38,,,,,,,,,,73,732,9,Rutgers,College Stats
143,2015,3,86,David Johnson\JohnDa08,RB,23,ARI,2015,2019,1,1,2,34,62,47,,,,,,,781,3128,33,208,2219,15,Northern Iowa,
144,2015,3,87,Sammie Coates\CoatSa00,WR,22,PIT,2015,2018,0,0,0,4,45,6,,,,,,,4,14,0,29,528,2,Auburn,College Stats
145,2015,3,89,Sean Mannion\MannSe00,QB,23,STL,2015,2019,0,0,0,1,13,2,0-2-0,45,74,384,0,3,23,-17,0,,,,Oregon St.,College Stats
146,2015,3,92,Jeff Heuerman\HeueJe00,TE,22,DEN,2016,2019,0,0,3,5,51,29,,,,,,,,,,63,678,5,Ohio St.,College Stats
147,2015,3,94,Ty Montgomery\MontTy01,WR,22,GNB,2015,2019,0,0,1,15,58,16,,,,,,,224,1035,7,120,982,3,Stanford,College Stats
148,2015,3,95,Matt Jones\JoneMa04,RB,22,WAS,2015,2017,0,0,0,10,25,7,,,,,,,248,964,6,27,377,1,Florida,College Stats
149,2014,1,3,Blake Bortles\BortBl00,QB,22,JAX,2014,2019,0,0,5,44,78,73,24-49-0,1562,2634,17649,103,75,283,1766,8,1,20,1,Central Florida,College Stats
150,2014,1,4,Sammy Watkins\WatkSa00,WR,21,BUF,2014,2019,0,0,5,36,76,73,,,,,,,10,73,0,284,4244,31,Clemson,College Stats
151,2014,1,7,Mike Evans\EvanMi00,WR,21,TAM,2014,2019,0,3,6,49,90,89,,,,,,,,,,462,7260,48,Texas A&M,College Stats
152,2014,1,10,Eric Ebron\EbroEr00,TE,21,DET,2014,2019,0,1,4,25,83,47,,0,1,0,0,0,4,-7,2,283,3195,27,North Carolina,College Stats
153,2014,1,12,Odell Beckham\BeckOd00,WR,21,NYG,2014,2019,0,3,5,49,75,71,,3,5,126,2,0,18,84,0,464,6511,48,LSU,College Stats
154,2014,1,20,Brandin Cooks\CookBr00,WR,20,NOR,2014,2019,0,0,6,51,88,77,,,,,,,46,281,2,402,5730,34,Oregon St.,College Stats
155,2014,1,22,Johnny Manziel\ManzJo00,QB,21,CLE,2014,2015,0,0,0,5,15,8,2-6-0,147,258,1675,7,7,46,259,1,,,,Texas A&M,College Stats
156,2014,1,28,Kelvin Benjamin\BenjKe00,WR,23,CAR,2014,2018,0,0,4,22,61,52,,,,,,,,,,209,3021,20,Florida St.,College Stats
157,2014,1,32,Teddy Bridgewater\BridTe00,QB,21,MIN,2014,2019,0,1,2,27,44,34,22-12-0,698,1070,7652,38,25,133,434,4,,,,Louisville,College Stats
